Temperature Offsets
Date of Calibration:,10-29-18,11:02:45
TOP:,1.49,BOT:,0.48
LED Calibration:,500

TIME,PLATE,TUBE,DISK TOP,DISK BOTTOM,FLUID TEMP,PIEZO CURRENT, LED CURRENT
08:55:06,75.41,66.94,67.73,66.54,67.34,0, ,
08:55:16,75.05,66.61,67.40,66.27,67.04,0, ,
08:55:26,74.76,66.32,67.10,66.03,66.74,0, ,
08:55:36,76.12,66.05,66.85,65.81,66.50,0, ,
08:55:46,77.88,65.84,66.72,65.62,66.35,0, ,
08:55:56,79.90,65.69,66.63,65.47,66.24,0, ,
08:56:06,82.34,65.60,66.67,65.41,66.25,0, ,
08:56:16,82.62,65.50,66.80,65.42,66.34,0, ,
08:56:26,83.60,65.40,66.87,65.47,66.41,0, ,
08:56:36,83.59,65.36,67.06,65.54,66.56,0, ,
08:56:46,82.48,65.27,67.13,65.61,66.63,0, ,
08:56:56,82.04,65.13,67.15,65.70,66.67,0, ,
08:57:06,80.59,64.98,67.19,65.75,66.72,0, ,
08:57:16,79.49,64.86,67.15,65.80,66.68,0, ,
08:57:26,79.50,64.68,67.07,65.77,66.64,0, ,
08:57:36,78.89,64.53,67.03,65.72,66.60,0, ,
08:57:46,79.03,64.41,66.95,65.69,66.54,0, ,
08:57:56,79.18,64.28,66.93,65.68,66.52,0, ,
08:58:06,79.22,64.17,66.88,65.67,66.48,0, ,
08:58:16,79.88,64.04,66.87,65.64,66.46,0, ,
08:58:26,79.52,63.91,66.87,65.64,66.46,0, ,
08:58:36,79.51,63.82,66.91,65.65,66.49,0, ,
08:58:46,79.52,63.72,66.92,65.63,66.49,0, ,
08:58:56,79.32,63.61,66.91,65.62,66.48,0, ,
08:59:06,79.77,63.52,66.87,65.62,66.45,0, ,
08:59:16,79.30,63.42,66.92,65.61,66.48,0, ,
08:59:26,79.19,63.34,66.91,65.63,66.48,0, ,
08:59:36,79.90,63.25,66.92,65.66,66.49,0, ,
08:59:46,79.13,63.19,66.95,65.65,66.51,0, ,
08:59:56,79.29,123.85,66.96,65.65,66.52,0, ,
09:00:06,78.67,62.98,66.96,65.68,66.53,0, ,
09:00:16,78.26,62.93,66.96,65.68,66.53,0, ,
09:00:26,79.19,62.77,66.87,65.69,66.48,0, ,
09:00:36,78.34,62.72,66.89,65.68,66.49,0, ,
09:00:46,78.15,62.65,66.89,65.66,66.48,0, ,
09:00:56,78.34,62.56,66.88,65.69,66.48,0, ,
09:01:06,77.84,62.43,66.88,65.65,66.47,0, ,
09:01:16,78.62,62.40,66.83,65.67,66.44,0, ,
09:01:26,77.98,62.30,66.87,65.65,66.47,0, ,
09:01:36,77.86,62.22,66.84,65.65,66.44,0, ,
09:01:46,78.38,62.15,66.84,65.63,66.44,0, ,
09:01:56,77.86,62.09,66.82,65.64,66.42,0, ,
09:02:06,78.21,62.00,66.82,65.65,66.42,0, ,
09:02:16,77.57,61.92,66.84,65.64,66.44,0, ,
09:02:26,77.54,61.86,66.82,65.65,66.43,0, ,
09:02:36,78.08,61.77,66.79,65.61,66.41,0, ,
09:02:46,77.49,61.71,66.78,65.63,66.40,0, ,
09:02:56,77.48,61.63,66.78,65.65,66.40,0, ,
09:03:06,77.78,61.59,66.80,65.62,66.41,0, ,
09:03:16,77.40,61.51,66.80,65.65,66.42,0, ,
09:03:26,77.91,61.48,66.77,65.62,66.40,0, ,
09:03:36,77.15,61.39,66.81,65.66,66.42,0, ,
09:03:46,76.89,61.33,66.79,65.66,66.41,0, ,
09:03:56,77.21,61.31,66.74,65.65,66.38,0, ,
09:04:06,76.75,61.21,66.76,65.63,66.38,0, ,
09:04:16,77.17,61.18,66.72,65.61,66.35,0, ,
09:04:26,77.06,61.07,66.75,65.61,66.37,0, ,
09:04:36,76.92,61.01,66.75,65.61,66.37,0, ,
